,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
393,Apple,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
395,Android,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
396,Android,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
398,Android,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
401,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Android,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0
405,Apple,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
414,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Android,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
419,Android,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
421,Android,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
423,Android,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
424,Android,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0
425,Apple,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0
427,Apple,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
429,Apple,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
431,Apple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
432,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Android,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
435,Apple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
438,Android,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
439,Android,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
441,Android,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
445,Android,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
450,Apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
453,Android,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0
454,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Apple,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
458,Android,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
459,Android,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
460,Android,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
462,Android,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0
463,Apple,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
465,Android,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
466,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
